/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/tophat_brain_out/counts_brain_tophat_htseq.txt	/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/tophat_heart_out/counts_heart_tophat_htseq.txt	/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/tophat_kidney_out/counts_kidney_tophat_htseq.txt	/proj/b2010078/PublicDataProject/RNASeqAtlas/project_tophat_output/tophat_brain_out/count_brain.txt	/proj/b2010078/PublicDataProject/RNASeqAtlas/project_tophat_output/tophat_heart_out/count_heart.txt	/proj/b2010078/PublicDataProject/RNASeqAtlas/project_tophat_output/tophat_kidney_out/count_kidney.txt	/proj/b2010078/PublicDataProject/BodyMap/ERR030882_tophat_output/count.txt	/proj/b2010078/PublicDataProject/BodyMap/ERR030886_tophat_output/count.txt	/proj/b2010078/PublicDataProject/BodyMap/ERR030885_tophat_output/count.txt	/proj/b2010078/PublicDataProject/HPA/count_brain_3b.txt	/proj/b2010078/PublicDataProject/HPA/count_heart_6a.txt	/proj/b2010078/PublicDataProject/HPA/count_kidney_a.txt	/proj/b2010078/PublicDataProject/Wang/brain_counts.txt	/proj/b2010078/PublicDataProject/Wang/heart_counts.txt	/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/count_brain.txt
ENSG00000004838	35	18	23	4	1	2	159	24	73	75	2	17	9	4
ENSG00000004846	1	2	1	11	6	30	19	16	36	0	1	0	2	1
ENSG00000004848	280	0	12	37	0	0	800	0	12	93	0	0	187	0
ENSG00000004864	223	64	677	109	75	426	1157	912	4303	633	157	1025	77	79
ENSG00000004866	153	194	293	95	106	201	1006	1815	1588	586	248	480	169	151
ENSG00000004897	587	194	210	718	584	418	6335	4965	4289	1790	761	626	411	246
ENSG00000004939	0	1	4280	3	0	378	9	6	4029	4	0	2076	1	1
ENSG00000004948	2	1	33	31	0	24	18	5	504	7	2	99	1	1
ENSG00000004961	256	330	331	482	810	395	1316	3752	2376	343	563	351	176	400
ENSG00000004975	372	271	566	102	96	132	884	762	1559	1093	317	276	219	215
ENSG00000005001	0	0	41	0	0	6	1	0	236	0	0	45	0	0
ENSG00000005007	1904	1366	2124	329	197	339	3856	2617	5966	1881	662	2131	1134	553
ENSG00000005020	426	16	514	568	270	765	2160	992	7386	525	214	1086	177	84
ENSG00000005022	2316	1282	11159	540	434	1164	12475	5072	27821	2400	1044	6283	1104	601
ENSG00000005059	54	21	15	66	72	22	331	383	626	99	83	35	27	30
ENSG00000005073	0	0	17	0	0	8	0	0	529	0	0	50	0	0
ENSG00000005075	222	351	440	183	262	123	308	1197	514	390	269	286	96	223
ENSG00000005100	338	162	169	266	98	164	1915	792	1449	1273	238	279	264	106
ENSG00000005102	1	215	0	0	109	1	7	587	13	0	358	1	1	85
ENSG00000005108	157	31	270	649	170	847	647	203	1349	618	64	667	99	21
ENSG00000005156	278	232	227	413	261	304	845	783	1475	682	198	279	211	96
ENSG00000005175	187	47	96	498	324	282	1700	1391	1531	502	204	299	125	114
ENSG00000005187	2	39	592	0	42	327	22	84	2540	23	78	1220	0	8
ENSG00000005189	50	32	8	57	54	11	166	254	105	120	33	22	28	10
ENSG00000005194	584	448	664	52	48	79	2126	2012	3205	1029	570	550	280	219
ENSG00000005206	918	842	1479	34	19	70	1115	579	1894	1447	232	726	246	128
ENSG00000005238	457	319	341	96	74	56	1694	1211	1474	765	411	249	285	204
ENSG00000005243	33	272	207	62	144	87	559	1079	762	123	309	160	57	200
ENSG00000005249	924	323	81	1162	479	208	9536	3006	3185	1225	629	338	492	207
ENSG00000005302	350	110	133	322	202	125	1780	1151	1765	812	214	211	138	84
ENSG00000005339	1659	1491	1112	1063	897	1018	4064	5061	5107	3010	991	1409	839	670
ENSG00000005379	2511	475	295	1289	24	101	3282	374	821	3584	353	446	796	103
