HPA_heart HPA_brain HPA_kidney AltIso_heart AltIso_brain GTEx_heart GTEx_brain GTEx_kidney
ENSG00000006074 3.8 1.4 0.3 19.03 0 0.0716940388083458 0.015061684884131 0.0245338845998049
ENSG00000006075 2.1 28.9 6.7 0 0 0.386361449956894 0.640799164772034 0.041751753538847
ENSG00000006114 11.3 11.7 14.3 2.52 6.93 4.39502048492432 5.59100151062012 3.71890091896057
ENSG00000006116 0 24.1 0 0 36.85 0 21.0653285980225 0
ENSG00000006118 2.9 44.2 3.4 1.01 28.77 3.15668034553528 4.23022842407227 0.271245718002319
ENSG00000006125 49.5 101.8 47.9 13 61.46 35.1832962036133 66.9583129882812 26.7521686553955
ENSG00000006128 0.3 44.6 1.9 0 4.14 0.217068806290627 95.926040649414 0
ENSG00000006194 9.6 17.2 14 2.83 3.67 5.50291538238525 1.45395469665527 0.736016511917114
ENSG00000006210 12.7 52.6 23.3 8.26 45.5 7.66149234771729 21.6885833740234 2.11104559898376
ENSG00000006282 39.7 15.9 26.6 19.61 12.65 32.5868072509766 15.8110570907593 4.67181587219238
ENSG00000006283 0.4 5 0 0.07 3.83 0.963014364242554 0.362519860267639 0.0100369341671467
ENSG00000006327 51.4 4.6 19.5 18.08 2.02 0.863359808921814 0.272065579891205 1.25763309001923
ENSG00000006377 0.1 0.6 0.1 0 1.31 0.389893054962158 7.14639186859131 0
ENSG00000006432 0.5 5.7 1.8 0.17 5.89 0.630240499973297 3.00518178939819 0.38091179728508
ENSG00000006451 12.7 25.2 16 4.91 10.53 6.75122451782227 20.2790203094482 5.17598676681519
ENSG00000006453 1.8 0.5 5.8 1.01 0.12 0.666763663291931 0.289247006177902 1.02231228351593
ENSG00000006459 4 5.2 4.5 1.81 0.82 2.93065762519836 2.61566781997681 9.08486652374268
ENSG00000006468 36.3 55.4 3.4 9.18 8.15 0.444805115461349 8.04616355895996 0.0230238828808069
ENSG00000006530 22.5 14.9 12.1 5.46 8.06 6.29691934585571 13.1112413406372 3.3464572429657
ENSG00000006534 2.4 1.7 18.2 1.72 0 0.685769379138947 0.498466521501541 0.33606344461441
ENSG00000006555 0 0.2 5.9 0.09 0.29 0.167506814002991 2.12489533424377 0.00365880411118269
ENSG00000006576 11.3 8.9 5.5 3.34 1.62 2.47932958602905 6.25308036804199 19.3795318603516
ENSG00000006606 1.2 0.1 0.5 0 0 8.02228546142578 0 0.437092363834381
ENSG00000006607 5.4 11.4 10.3 1.76 2.4 3.33748865127563 2.63456273078918 1.38483190536499
ENSG00000006611 0.1 10.8 51.3 0.09 9.27 0 0.646472334861755 0
ENSG00000006625 19.2 30.4 34.2 9.01 26.31 11.4798460006714 12.2625675201416 5.4724440574646
ENSG00000006634 1.4 1.5 1.6 0.2 0.45 2.70979380607605 3.97407722473145 1.05953931808472
ENSG00000006638 1.7 0.3 2 1.07 0.82 0.92453420162201 0.0996700152754784 0.224794894456863
ENSG00000006652 22.2 26.5 22.2 6.35 5.24 11.5090894699097 11.3417158126831 12.1005077362061
ENSG00000006659 0 0 0 0 0 0 0 0.0600422620773315
ENSG00000006695 21.6 4.9 10.2 9.98 3.96 2.6510272026062 2.68091297149658 16.1379508972168
ENSG00000006704 7.2 5.3 9 2.95 3.32 2.92533445358276 2.52302241325378 9.54380416870117
ENSG00000006712 25.8 25.1 28.6 21.6 35.15 34.9814605712891 15.8185243606567 11.8780612945557
ENSG00000006715 28.5 60.8 26.1 5.08 18.57 8.0612096786499 14.1279163360596 3.11107969284058
ENSG00000006744 32.1 17.9 22.3 11.14 10.19 4.97884893417358 11.2855100631714 10.6213808059692
ENSG00000006747 0.3 6.6 56.5 0.09 1.48 0.29411506652832 2.67292547225952 0.00745532801374793
ENSG00000006756 5.4 3.6 40.6 3.92 0.81 5.79155158996582 2.08933663368225 0.64154851436615
ENSG00000006757 33.3 7.3 38.4 7.41 3.49 4.23902559280396 8.37712478637695 6.29172563552856
ENSG00000006788 0 0 0 0.42 0.02 0.00989862903952599 0 3.49065017700195
ENSG00000006831 20.8 41.2 21.2 14.55 31.32 15.6024751663208 18.1860046386719 13.4838705062866
ENSG00000006837 5.1 6.2 3.4 0.39 1.15 0.8452929854393 2.21609139442444 0.84724509716034
ENSG00000007001 0 2.1 32.3 0 0.68 0.219168215990067 2.34458208084106 0
ENSG00000007038 0 0.2 0.1 0 0.09 0.00964663736522198 0.455983340740204 0.0495165586471558
ENSG00000007047 11.5 21.4 8.5 7.2 20.13 11.634729385376 14.9120359420776 6.80123376846313
ENSG00000007062 7.5 3.5 21.5 0.25 0.51 0 0.612162947654724 0.0302166175097227
ENSG00000007080 23.3 31.3 34.6 58.2 39.22 52.2589416503906 28.9720516204834 25.383415222168
ENSG00000007129 0.5 1.2 0.6 0.48 0.74 0.18240912258625 0.185709565877914 0.0432144515216351
ENSG00000007168 43.2 102.1 37.9 20.92 46.09 25.3368549346924 66.9652404785156 36.2610206604004
ENSG00000007171 0.4 0.6 0.5 0.03 1.19 0.157979160547256 2.11933588981628 0.220104992389679
ENSG00000007174 0.1 5.1 1 0 0.3 0.140340462327003 1.03346085548401 0.0108326766639948
ENSG00000007202 19.8 26.9 40.1 11.44 13.57 22.4822978973389 15.8472690582275 21.0416202545166
ENSG00000007216 0 0 41.9 0 0 0 0 0
ENSG00000007237 33.2 94 1.5 9.01 107.34 5.57379531860352 99.735710144043 0.833990573883057
ENSG00000007255 11.6 9.7 38.8 7.46 11.54 9.30499458312988 13.5874605178833 6.07519483566284
ENSG00000007264 0.7 7.9 0.8 0.32 13.06 0.186123341321945 12.0744876861572 0.0636918917298317
ENSG00000007306 0.1 0.3 0.9 0 0 0.0127123212441802 0 0
ENSG00000007312 5.7 0.3 1.9 3.74 0.22 1.23131132125854 0.156774163246155 0.919326364994049
ENSG00000007314 0.5 0 0.4 0.8 0.01 0.113510206341743 0.107309445738792 45.8151969909668
ENSG00000007341 8.2 7.2 10.9 2.59 2.67 4.19281816482544 2.88108730316162 1.44927060604095
ENSG00000007350 4.1 0.4 0.1 1.43 0.08 0.0777419358491898 0.0544408150017262 0
ENSG00000007372 0.3 20.3 0.8 0 4.19 0.0860164016485214 1.87888145446777 0.177727982401848
ENSG00000007376 3.3 5.2 6 2.24 4.44 4.10718297958374 4.94176912307739 1.24886524677277
ENSG00000007384 23.3 4.9 6.3 4.52 1.72 36.6234092712402 5.90023851394653 3.15587401390076
ENSG00000007392 19.9 34.7 23.8 2.53 5.97 46.3632125854492 21.7926864624023 3.44644641876221
ENSG00000007402 4.4 3.2 1.6 1.05 4.6 2.54727864265442 6.12889194488525 0.325888425111771
ENSG00000007516 1.2 14.8 6.7 0.44 8.76 1.09378135204315 7.61017036437988 0.407954394817352
ENSG00000007520 29.1 21.9 26.9 27.78 39.51 22.3731327056885 25.0525798797607 18.8430347442627
ENSG00000007541 12 15.1 31.5 3.31 8.79 12.8190183639526 7.74476099014282 2.36901211738586
ENSG00000007545 5.2 7.8 4.9 1.64 3.08 0.806534469127655 0.205281913280487 0.366228371858597
ENSG00000007866 19.7 0.9 7.8 9.32 0.71 25.7069969177246 1.27481007575989 6.85996532440186
ENSG00000007908 1.3 0.5 1.3 0.17 0.34 0.464977502822876 0.155978947877884 0.0461951121687889
ENSG00000007923 30.9 22.5 44.4 28 21.13 7.25360870361328 7.62573051452637 8.94312381744385
ENSG00000007933 1.9 0.4 11.3 1.45 0.15 0.315221905708313 0.227460578083992 1.89475548267365
ENSG00000007944 14.5 9.8 27.2 5.14 2.55 9.06561279296875 3.83645391464233 7.47544956207275
ENSG00000007952 0 0.1 0.1 0 0 0.0437893979251385 0.37848961353302 0
