ENSG_ID	HPA_heart	HPA_brain	HPA_kidney
144	ENSG00000006606	1.2	0.1	0.5
145	ENSG00000006607	5.4	11.4	10.3
146	ENSG00000006611	0.1	10.8	51.3
147	ENSG00000006625	19.2	30.4	34.2
148	ENSG00000006634	1.4	1.5	1.6
149	ENSG00000006638	1.7	0.3	2
150	ENSG00000006652	22.2	26.5	22.2
151	ENSG00000006659	0	0	0
152	ENSG00000006695	21.6	4.9	10.2
153	ENSG00000006704	7.2	5.3	9
154	ENSG00000006712	25.8	25.1	28.6
155	ENSG00000006715	28.5	60.8	26.1
156	ENSG00000006740	4.3	20.9	3.8
157	ENSG00000006744	32.1	17.9	22.3
158	ENSG00000006747	0.3	6.6	56.5
159	ENSG00000006756	5.4	3.6	40.6
160	ENSG00000006757	33.3	7.3	38.4
161	ENSG00000006788	0	0	0
162	ENSG00000006831	20.8	41.2	21.2
163	ENSG00000006837	5.1	6.2	3.4
164	ENSG00000007001	0	2.1	32.3
165	ENSG00000007038	0	0.2	0.1
166	ENSG00000007047	11.5	21.4	8.5
167	ENSG00000007062	7.5	3.5	21.5
168	ENSG00000007080	23.3	31.3	34.6
169	ENSG00000007129	0.5	1.2	0.6
170	ENSG00000007168	43.2	102.1	37.9
171	ENSG00000007171	0.4	0.6	0.5
172	ENSG00000007174	0.1	5.1	1
173	ENSG00000007202	19.8	26.9	40.1
174	ENSG00000007216	0	0	41.9
175	ENSG00000007237	33.2	94	1.5
176	ENSG00000007255	11.6	9.7	38.8
177	ENSG00000007264	0.7	7.9	0.8
178	ENSG00000007306	0.1	0.3	0.9
179	ENSG00000007312	5.7	0.3	1.9
180	ENSG00000007314	0.5	0	0.4
181	ENSG00000007341	8.2	7.2	10.9
182	ENSG00000007350	4.1	0.4	0.1
183	ENSG00000007372	0.3	20.3	0.8
184	ENSG00000007376	3.3	5.2	6
185	ENSG00000007384	23.3	4.9	6.3
186	ENSG00000007392	19.9	34.7	23.8
187	ENSG00000007402	4.4	3.2	1.6
188	ENSG00000007516	1.2	14.8	6.7
189	ENSG00000007520	29.1	21.9	26.9
190	ENSG00000007541	12	15.1	31.5
191	ENSG00000007545	5.2	7.8	4.9
192	ENSG00000007866	19.7	0.9	7.8
193	ENSG00000007908	1.3	0.5	1.3
194	ENSG00000007923	30.9	22.5	44.4
195	ENSG00000007933	1.9	0.4	11.3
196	ENSG00000007944	14.5	9.8	27.2
197	ENSG00000007952	0	0.1	0.1
198	ENSG00000007968	0	0.1	0.1
199	ENSG00000008018	149.3	74.4	125.5
200	ENSG00000008056	3.3	115	0.2
201	ENSG00000008083	3.9	6.8	3.2
202	ENSG00000008086	2	11.4	3
203	ENSG00000008118	0	19.2	4.9
204	ENSG00000008128	20.3	15	18.7
205	ENSG00000008130	15.3	15	20.2
206	ENSG00000008196	0	0.1	7.3
207	ENSG00000008197	0	0	0
208	ENSG00000008226	0.2	0.4	0.3
209	ENSG00000008256	19.5	17.2	10.8
210	ENSG00000008277	1.6	26.4	3.4
